EncuestaHogar_id,DEPARTAMENTO,Estrato,IdTamanoHogar,TamanoHogar,Personas,PersonasMenor4,PersonasDesde4,Autos,Motos,Otros,Vehiculos,EspaciosEstacionamiento,AutoECH,MotoECH,ZonaIMM,Ponderacion
7454,1,4,2,2 Personas,2,0,2,2,0,0,2,2,1,2,Centro,1358.4491019974
7455,1,3,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,164.5106237333
7456,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,1,Oeste,628.8910032696
7457,1,1,2,2 Personas,2,0,2,0,1,0,1,0,2,1,Oeste,187.1163778678
7581,1,2,3,3 o 4 Personas,4,0,4,1,0,0,1,1,1,2,Este,162.2944524567
7464,1,1,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Oeste,253.9912281682
7553,1,1,2,2 Personas,2,1,1,0,0,0,0,0,2,2,Este,93.5581889339
7554,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,1,2,1,Este,682.9891540885
7566,1,1,4,5 o mas Personas,9,0,9,0,0,0,0,0,2,2,Este,125.2439430811
7567,1,2,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Este,505.7887513261
7568,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,439.7234879894
7569,1,4,2,2 Personas,2,0,2,0,0,0,0,1,1,2,Centro,452.8163673325
7570,1,1,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Este,439.7234879894
7571,1,4,2,2 Personas,2,0,2,1,0,0,1,1,1,2,Centro,770.6586251716
7572,1,3,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Este,283.9325539949
7574,1,4,2,2 Personas,2,0,2,2,0,0,2,1,1,2,Centro,500.7104061849
7575,1,4,4,5 o mas Personas,6,0,6,0,0,0,0,0,2,2,Centro,875.7786649936
7576,1,1,3,3 o 4 Personas,3,0,3,0,1,0,1,1,2,1,Este,482.4841517764
7577,16,5,4,5 o mas Personas,5,1,4,0,1,0,1,0,2,1,,129.2172853086
7578,1,2,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Este,508.6149726046
7579,1,1,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,507.9824563365
7580,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,286.9117793973
7582,1,3,3,3 o 4 Personas,4,0,4,1,0,0,1,1,1,1,Este,2248.0700285462
7583,1,1,2,2 Personas,2,0,2,0,2,0,2,2,2,1,Este,442.8420942872
7584,1,1,4,5 o mas Personas,6,0,6,0,0,0,0,4,2,2,Oeste,858.8156096993
7585,3,5,1,1 Persona,1,0,1,1,0,0,1,1,2,2,,291.0308527978
7587,1,2,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Este,359.2691794898
7594,1,4,1,1 Persona,1,0,1,0,0,0,0,0,1,2,Centro,183.8095783944
7595,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,364.0658891104
7596,1,2,3,3 o 4 Personas,4,1,3,0,0,0,0,0,2,2,Centro,1156.3479737538
7597,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,327.6144853787
7598,1,1,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Este,127.8628582097
7599,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,603.8165965733
7600,1,2,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Este,301.9634336275
7601,1,3,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Centro,314.6265678899
7602,1,3,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Este,293.3261607074
7603,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,284.6083794493
7604,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,364.0658891104
7605,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,387.1546806393
7606,1,4,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Centro,155.6452075114
7617,1,2,3,3 o 4 Personas,3,0,3,0,1,0,1,1,2,2,Este,269.4518846174
7618,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,1,Este,603.926867255
7619,1,1,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Este,124.4343810354
7620,3,5,2,2 Personas,2,0,2,0,0,0,0,2,2,2,,322.7642676062
7621,3,9,3,3 o 4 Personas,3,0,3,2,0,0,2,2,2,1,,208.513595451
7622,3,5,2,2 Personas,2,0,2,1,0,0,1,2,1,2,,254.2991199322
7623,1,2,3,3 o 4 Personas,3,0,3,0,0,0,0,2,2,2,Este,235.7703990402
7624,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,756.8378851395
7627,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,944.9377082325
7629,1,1,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,514.5700391365
7631,1,1,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,258.2961642389
7632,3,5,3,3 o 4 Personas,3,1,2,1,1,0,2,4,1,1,,417.0271909021
7677,1,1,3,3 o 4 Personas,3,1,2,0,0,0,0,1,2,2,Oeste,454.1027310837
7692,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,756.8378851395
7693,3,5,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,,208.513595451
7695,1,4,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,444.1083602684
7817,1,3,3,3 o 4 Personas,3,1,2,0,0,0,0,0,2,2,Centro,123.3829678
7819,1,1,2,2 Personas,2,0,2,1,1,0,2,2,1,1,Oeste,729.7538736845
7820,1,3,3,3 o 4 Personas,4,0,4,0,1,0,1,0,2,1,Centro,389.5738071895
7830,1,4,1,1 Persona,1,0,1,1,0,0,1,1,2,2,Centro,176.3979018462
7831,1,2,3,3 o 4 Personas,3,0,3,2,0,0,2,0,2,2,Oeste,740.9926826978
7835,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,176.3979018462
7843,1,3,1,1 Persona,1,0,1,1,0,0,1,0,1,2,Centro,275.2693307908
7844,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,251.5902485722
7847,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,156.873919698
7849,1,4,1,1 Persona,1,0,1,1,0,0,1,1,2,2,Centro,155.6452075114
7856,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,174.6332313619
7857,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,114.6650698825
7858,1,3,3,3 o 4 Personas,3,1,2,0,0,0,0,1,2,2,Centro,1122.7850069796
7859,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,105.5646675109
7860,1,3,2,2 Personas,2,0,2,1,0,0,1,1,2,2,Centro,513.26269376
7861,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,258.1031204262
7862,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,180.5530019165
7863,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Oeste,118.3954110928
7864,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,742.5928335251
