EncuestaPersona_id,EncuestaHogar_ID,zonaimm,ZatHogar,MZatHogar,DptoHogar,estrato,Anillo,Idpersonaech,PARENTESCO,FECHAVIAJES,LUGAR4MANANAENUM,zat4am,Edad,Edad052009,NacimientoAnio,sexo,TamanoHogar,PersonasenHogar,Vehiculosenhogar,TipousuarioModo,Preescolar,PrimariaComun,PrimariaEspecial,CicloBasicoLiceo,BachillerSecundario,BachillerTecnilogico,Tecnico,Profesorado,Universitario,Terciario,Posgrado,EstudioPrincipal,AsistenciaInstitutoEducativo,Jubilado,Pensionista,Rentista,Estudiante,QuehaceresEnCasa,¿Se movió?,Ponderacion
9832,8053,Este,102,15,1,2,Montevideo,3,12,24/08/0009 00:00:00.000000,1,102,50,50,1959,2,3 o 4 Personas,4,2,5,1,6,0,3,1,0,3,0,0,0,0,SECRETARIADO,2,2,2,2,2,1,SI,324.5889049133
9836,8052,Centro,18,1,1,2,Montevideo,2,2,11/09/2009 00:00:00.000000,1,18,48,48,1960,2,3 o 4 Personas,3,1,12,1,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,987.990243597
9837,8052,Centro,18,1,1,2,Montevideo,3,11,11/09/2009 00:00:00.000000,1,18,9,9,2000,2,3 o 4 Personas,3,1,12,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,987.990243597
9838,8051,Centro,5,1,1,2,Montevideo,1,1,28/09/2009 00:00:00.000000,1,5,27,27,1981,2,2 Personas,2,0,5,3,6,0,3,3,0,0,0,8,0,9,PEDIATRIA,1,2,2,2,1,1,SI,1093.1426276874
9839,8051,Centro,5,1,1,2,Montevideo,2,9,28/09/2009 00:00:00.000000,1,5,20,20,1988,2,2 Personas,2,0,12,3,6,0,3,3,0,0,0,2,0,0,INGENIERIA EN SISTEMAS,1,2,2,2,1,1,SI,1093.1426276874
9840,8054,Centro,2,1,1,2,Montevideo,1,1,23/09/2009 00:00:00.000000,1,2,58,58,1951,2,1 Persona,1,0,12,0,6,0,3,3,0,0,0,0,0,0,,2,2,2,2,2,1,SI,528.4360088481
9843,8056,Centro,4,1,1,3,Montevideo,1,1,23/09/2009 00:00:00.000000,1,4,29,29,1980,2,2 Personas,2,0,5,1,6,0,3,3,0,0,0,1,0,0,PSICOLOGIA,2,2,2,2,2,1,SI,516.9028547086
9844,8056,Centro,4,1,1,3,Montevideo,2,7,23/09/2009 00:00:00.000000,1,4,68,68,1940,2,2 Personas,2,0,12,0,6,0,3,3,0,0,0,1,0,0,DERECHO,2,2,2,2,2,1,SI,516.9028547086
9845,8061,Este,99,9,1,1,Montevideo,2,2,11/08/0009 00:00:00.000000,1,99,40,40,1969,2,5 o mas Personas,5,4,1,0,6,0,3,3,0,2,0,0,0,0,ENFERMERIA,2,2,2,2,2,1,SI,1137.7809567214
9846,8061,Este,99,9,1,1,Montevideo,3,5,11/08/0009 00:00:00.000000,5,165,20,20,1988,2,5 o mas Personas,5,4,5,3,6,0,3,3,0,0,0,9,0,0,ABOGACIA,1,2,2,2,1,2,SI,1137.7809567214
9850,8057,Centro,5,1,1,2,Montevideo,2,2,08/09/2009 00:00:00.000000,1,5,23,23,1985,2,2 Personas,2,0,5,1,6,0,3,3,0,0,0,1,0,0,LICENCIADO EN TRABAJO SOCIAL,1,2,2,2,1,1,SI,1123.5077006787
9851,8058,Centro,4,1,1,3,Montevideo,2,2,21/09/2009 00:00:00.000000,1,4,37,37,1971,2,2 Personas,2,1,10,2,6,0,3,1,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,516.9028547086
9854,8060,Centro,4,1,1,3,Montevideo,1,1,22/09/2009 00:00:00.000000,1,4,46,46,1962,2,1 Persona,1,0,12,1,6,0,3,3,0,1,0,0,0,0,AUXILIAR CONTABLE,2,2,2,2,2,1,SI,1118.8366348271
9855,8062,Centro,19,1,1,2,Montevideo,1,1,22/09/2009 00:00:00.000000,1,19,55,55,1954,2,3 o 4 Personas,4,0,12,1,6,0,3,1,0,2,0,0,0,0,SECRETARIADO COMERCIAL,2,2,2,1,2,1,SI,263.7284852421
9856,8062,Centro,19,1,1,2,Montevideo,2,4,22/09/2009 00:00:00.000000,1,19,23,23,1996,2,3 o 4 Personas,4,0,,3,6,0,3,3,0,0,0,9,0,0,SICOLOGIA,1,2,2,2,1,2,#N/D,263.7284852421
9859,8063,Centro,4,1,1,3,Montevideo,1,1,25/09/2009 00:00:00.000000,1,4,18,18,1927,2,1 Persona,1,0,12,2,6,0,3,3,0,0,0,9,0,0,PSICOLOGIA,1,2,2,2,1,1,SI,408.4641682702
9860,8064,Centro,5,1,1,2,Montevideo,1,1,22/09/2009 00:00:00.000000,1,5,53,53,1955,2,3 o 4 Personas,4,0,12,0,6,0,3,3,0,0,0,3,0,0,MEDICINA,2,2,2,2,2,2,SI,1460.65007211
9861,8064,Centro,5,1,1,2,Montevideo,3,4,23/09/2009 00:00:00.000000,1,5,17,20,1991,2,3 o 4 Personas,4,0,12,3,6,0,3,2,0,0,0,0,0,0,,1,2,2,2,1,2,SI,1460.65007211
9862,8064,Centro,5,1,1,2,Montevideo,3,4,23/09/2009 00:00:00.000000,1,5,17,17,1991,2,3 o 4 Personas,4,0,,3,6,0,3,2,0,0,0,0,0,0,,1,2,2,2,1,2,#N/D,1460.65007211
9866,8065,Centro,19,1,1,2,Montevideo,3,13,22/09/2009 00:00:00.000000,1,19,77,77,1932,2,3 o 4 Personas,3,0,,0,6,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,#N/D,389.2082777806
9868,8072,Este,102,15,1,2,Montevideo,2,2,27/08/0009 00:00:00.000000,1,102,49,49,1959,2,5 o mas Personas,8,1,,1,6,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,1,#N/D,456.5635206308
9870,8072,Este,102,15,1,2,Montevideo,4,3,27/08/0009 00:00:00.000000,1,102,7,7,2002,2,5 o mas Personas,8,1,10,2,9,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,SI,456.5635206308
9871,8072,Este,102,15,1,2,Montevideo,999,3,27/08/0009 00:00:00.000000,1,102,24,,1984,2,5 o mas Personas,8,1,5,,,,,,,,,,,,,,,,,,,SI,456.5635206308
9875,8073,Este,99,9,1,1,Montevideo,1,1,14/08/0009 00:00:00.000000,1,99,52,52,1956,2,3 o 4 Personas,4,0,12,1,6,0,3,3,0,1,0,2,0,0,LICENCIATURA EN LETRAS,2,2,2,2,2,1,SI,456.2593971298
9877,8073,Este,99,9,1,1,Montevideo,3,4,14/08/0009 00:00:00.000000,1,99,12,12,1996,2,3 o 4 Personas,4,0,5,2,6,0,9,0,0,0,0,0,0,0,,1,0,0,0,0,0,SI,456.2593971298
9878,8073,Este,99,9,1,1,Montevideo,4,11,14/08/0009 00:00:00.000000,1,99,4,4,2005,2,3 o 4 Personas,4,0,8,2,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,SI,456.2593971298
9879,8074,,161,26,3,5,Primer Anillo,2,2,07/10/2009 00:00:00.000000,1,161,33,33,1976,2,5 o mas Personas,5,0,11,0,6,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,908.4361184282
9881,8074,,161,26,3,5,Primer Anillo,4,3,07/10/2009 00:00:00.000000,1,161,8,8,2001,2,5 o mas Personas,5,0,12,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,908.4361184282
9883,8074,,161,26,3,5,Primer Anillo,5,3,,1,161,2,2,2001,2,5 o mas Personas,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,#N/D,908.4361184282
9897,8076,Este,99,9,1,2,Montevideo,1,7,09/08/2009 00:00:00.000000,1,99,70,70,1939,2,3 o 4 Personas,3,1,12,0,6,0,0,0,0,3,0,0,0,0,CORTE Y CONFECCION,2,2,1,2,2,1,SI,718.5383589796
9900,8077,Centro,34,4,1,3,Montevideo,2,2,01/10/2009 00:00:00.000000,1,34,81,81,1927,2,2 Personas,2,0,,0,6,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,#N/D,127.4056332028
9901,8078,Este,56,11,1,4,Montevideo,1,1,24/09/2009 00:00:00.000000,1,56,86,86,1922,2,1 Persona,1,1,1,0,6,0,3,3,0,0,0,0,0,0,0,2,2,1,2,2,1,SI,75.5991007912
9903,8079,Centro,67,3,1,3,Montevideo,1,1,01/10/2009 00:00:00.000000,1,67,83,83,1933,2,1 Persona,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,SI,266.3896749588
9904,8080,Centro,66,3,1,3,Montevideo,1,1,01/10/2009 00:00:00.000000,1,66,74,74,1935,2,1 Persona,1,0,,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,2,2,1,#N/D,541.6590057496
9908,8081,,164,20,3,9,Segundo Anillo,2,2,22/09/2006 00:00:00.000000,1,164,45,45,1964,2,3 o 4 Personas,4,1,,0,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,#N/D,591.4597130714
9910,8081,,164,20,3,9,Segundo Anillo,4,3,22/09/2009 00:00:00.000000,1,164,13,13,1996,2,3 o 4 Personas,4,1,,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#N/D,591.4597130714
9914,8083,,165,17,3,5,Primer Anillo,2,2,05/10/2009 00:00:00.000000,1,165,46,46,1963,2,3 o 4 Personas,3,2,1,1,6,0,3,3,0,0,4,0,0,0,PROFESORADO QUIMICA,2,2,2,2,2,1,SI,744.6914123252
9919,8085,,165,17,3,5,Primer Anillo,2,2,05/10/2009 00:00:00.000000,1,165,16,16,1957,2,5 o mas Personas,6,0,5,3,6,0,3,1,0,0,0,0,0,0,,1,2,2,2,1,1,SI,394.8219658504
9922,8085,,165,17,3,5,Primer Anillo,5,3,05/10/2009 00:00:00.000000,1,165,21,,1987,2,5 o mas Personas,6,0,5,,,,,,,,,,,,,,,,,,,SI,394.8219658504
9923,8085,,165,17,3,5,Primer Anillo,6,3,,1,165,6,,2002,2,5 o mas Personas,6,0,,,,,,,,,,,,,,,,,,,,#N/D,394.8219658504
9930,8086,Centro,66,3,1,4,Montevideo,1,1,14/10/2009 00:00:00.000000,1,66,73,73,1936,2,2 Personas,2,0,5,0,6,0,3,3,0,0,0,0,4,0,TECNICO RADIOLOGO,2,1,1,2,2,1,SI,280.8332278168
9931,8086,Centro,66,3,1,4,Montevideo,2,4,14/10/2009 00:00:00.000000,1,66,51,51,1957,2,2 Personas,2,0,12,1,6,0,3,3,0,0,0,5,0,0,PSICOLOGIA,2,2,2,2,2,1,SI,280.8332278168
9942,8088,,170,19,3,10,Segundo Anillo,2,2,08/09/2009 00:00:00.000000,6,170,50,50,1958,2,5 o mas Personas,5,2,5,0,6,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,SI,1190.3645689749
9944,8088,,170,19,3,10,Segundo Anillo,5,3,08/09/2009 00:00:00.000000,1,170,16,18,1992,2,5 o mas Personas,5,2,9,2,6,0,3,9,0,0,0,0,0,0,0,1,2,2,2,1,1,SI,1190.3645689749
9945,8088,,170,19,3,10,Segundo Anillo,3,8,08/09/2009 00:00:00.000000,1,170,78,16,1930,2,5 o mas Personas,5,2,,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,#N/D,1190.3645689749
9946,8089,,158,24,3,5,Primer Anillo,1,1,13/09/2009 00:00:00.000000,1,158,46,46,1962,2,5 o mas Personas,5,0,5,0,6,0,2,0,0,0,0,0,0,0,,2,2,1,2,2,1,SI,187.9523003645
9947,8089,,158,24,3,5,Primer Anillo,2,4,23/09/2009 00:00:00.000000,1,158,17,17,1991,2,5 o mas Personas,5,0,,0,6,0,3,1,0,0,0,0,0,0,,1,2,2,2,1,2,#N/D,187.9523003645
9949,8089,,158,24,3,5,Primer Anillo,4,4,23/09/2009 00:00:00.000000,1,158,8,8,2000,2,5 o mas Personas,5,0,,2,2,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,#N/D,187.9523003645
9950,8089,,158,24,3,5,Primer Anillo,5,4,23/09/2009 00:00:00.000000,1,158,5,5,2003,2,5 o mas Personas,5,0,,1,9,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,#N/D,187.9523003645
9952,8090,,181,18,16,48,Segundo Anillo,2,2,23/09/2009 00:00:00.000000,1,181,46,46,1960,2,3 o 4 Personas,4,1,11,0,6,0,3,1,0,1,0,0,0,0,AUXILIAR CONTABLE,2,2,2,2,2,2,SI,379.2426890388
9954,8090,,181,18,16,48,Segundo Anillo,4,3,23/09/2009 00:00:00.000000,1,181,8,8,2000,2,3 o 4 Personas,4,1,12,3,2,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,SI,379.2426890388
9955,8091,Este,55,11,1,4,Montevideo,1,1,21/09/2009 00:00:00.000000,1,55,62,62,1947,2,1 Persona,1,1,,1,6,0,3,3,0,0,0,0,0,0,,2,1,1,2,2,1,#N/D,133.4101778669
9956,8092,Este,56,11,1,4,Montevideo,1,1,24/09/2009 00:00:00.000000,1,56,73,73,1935,2,2 Personas,2,0,,0,6,0,3,0,0,3,0,0,0,0,CONTABILIDAD,2,1,1,2,2,1,#N/D,111.0270900671
9958,8093,Centro,7,1,1,2,Montevideo,2,2,17/08/2009 00:00:00.000000,1,7,23,23,1988,2,2 Personas,2,0,12,3,6,0,3,1,0,0,0,0,0,0,,2,2,2,2,2,1,SI,389.6851033886
9962,8094,Centro,67,3,1,3,Montevideo,1,1,01/10/2009 00:00:00.000000,1,67,64,28,1944,2,3 o 4 Personas,4,0,,0,6,0,3,3,0,0,0,0,0,0,,2,1,1,2,2,1,#N/D,384.9905859284
9964,8095,Centro,12,1,1,4,Montevideo,1,1,10/09/2009 00:00:00.000000,1,12,55,55,1953,2,1 Persona,1,0,5,1,6,0,3,3,0,0,0,0,0,0,,2,2,2,2,2,1,SI,362.430983205
9970,8096,Centro,40,2,1,4,Montevideo,1,1,29/09/2009 00:00:00.000000,1,40,77,77,1932,2,1 Persona,1,0,5,0,6,0,3,3,0,0,0,0,0,0,0,2,1,2,2,2,1,SI,600.3458004009
9971,8097,Oeste,122,22,1,2,Montevideo,1,2,11/09/2009 00:00:00.000000,1,122,69,69,1973,2,3 o 4 Personas,4,2,,0,6,0,1,0,0,0,0,0,0,0,0,2,1,2,2,2,1,#N/D,256.9662163897
