,PARTIDO,fraccion,radio,hogar,LOCALIDA,CANPER,CANPERM3,CANPEREV,TIPOVIVI,COCHERA,AUTO,BICICLET,CICLOMO,MOTO,CANAUTOS,OTIPOVIV,z_cocherasino,z_tieneciclomo,z_tienemoto,z_tieneauto,wt1,z_gastoco2,z_gastoma2,z_Quintil_ing_per_capita_AD_EQUIV,IDH
3680,Cap. Fed. DE 16,3.0,6.0,007,VILLA PUEYRREDON,3.0,2.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,170.15151977539062,280.961538461538,260.921132457027,4.0,6593.0
3681,San Isidro,7.0,2.0,008,VILLA ADELINA,5.0,5.0,0.0,Casa,1.0,Si,3.0,No tiene,No tiene,1.0,,Si,No,No,Si,182.6154327392578,174.666666666667,260.921132457027,1.0,6594.0
3682,Hurlingham,8.0,5.0,016,VILLA TESSEI,5.0,5.0,0.0,Casa,1.0,No,3.0,No tiene,No tiene,No tiene,,Si,No,No,No,89.18367004394531,0.0,0.0,1.0,6595.0
3683,Tres de Febrero,16.0,6.0,001,CIUDADELA,2.0,2.0,0.0,Departamento,0.0,No,3.0,No tiene,No tiene,No tiene,,No,No,No,No,188.7566375732422,0.0,0.0,4.0,6596.0
3684,Jose C. Paz,5.0,17.0,020,JOSE C PAZ,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,109.08372497558594,373.855263157895,441.921487603306,5.0,6597.0
3685,Cap. Fed. DE 16,3.0,6.0,003,VILLA PUEYRREDON,3.0,3.0,0.0,Casa,0.0,Si,3.0,No tiene,No tiene,2.0,,No,No,No,Si,151.02877807617188,600.0,400.0,3.0,6598.0
3686,Merlo,12.0,6.0,030,MERLO,2.0,2.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,110.40704345703125,0.0,0.0,3.0,6599.0
3687,Tigre,3.0,16.0,028,LOS TRONCOS DEL TALAR,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,118.49150848388672,0.0,0.0,1.0,6600.0
3688,Merlo,12.0,6.0,007,MERLO,4.0,4.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,131.64549255371094,0.0,0.0,1.0,6601.0
3689,E. Echeverria,5.0,21.0,009,MONTE GRANDE,5.0,5.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,123.68657684326172,0.0,0.0,2.0,6602.0
3690,Merlo,7.0,13.0,007,MERLO,4.0,4.0,0.0,Casa,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,146.96591186523438,0.0,0.0,3.0,6603.0
3691,La Matanza,34.0,8.0,019,RAFAEL CASTILLO,4.0,5.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,135.54281616210938,100.0,100.0,1.0,6604.0
3692,San Miguel,6.0,18.0,018,SAN MIGUEL,3.0,3.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,121.13854217529297,297.230769230769,441.921487603306,4.0,6605.0
3693,Cap. Fed. DE 11,3.0,8.0,021,FLORES,2.0,2.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,275.7176513671875,316.666666666667,260.921132457027,5.0,6606.0
3694,E. Echeverria,1.0,40.0,015,LUIS GUILLON,5.0,5.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,84.72540283203125,353.75,260.921132457027,1.0,6607.0
3695,San Miguel,6.0,18.0,012,SAN MIGUEL,5.0,5.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,124.69302368164062,268.8,260.921132457027,3.0,6608.0
3696,La Matanza,11.0,4.0,021,LA TABLADA,3.0,3.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,186.85357666015625,0.0,0.0,2.0,6609.0
3697,Cap. Fed. DE 12,2.0,17.0,006,VILLA SANTA RITA,3.0,3.0,0.0,"Dep. ""tipo casa"" (PH) o ""de pasillo""",0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,320.205810546875,0.0,0.0,1.0,6610.0
3698,Merlo,12.0,6.0,017,MERLO,3.0,3.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,156.16583251953125,0.0,0.0,3.0,6611.0
3699,Quilmes,8.0,16.0,028,QUILMES,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,149.1230926513672,680.0,683.881578947368,2.0,6612.0
3700,E. Echeverria,5.0,21.0,004,MONTE GRANDE,6.0,5.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,113.83402252197266,171.25,200.0,1.0,6613.0
3701,La Matanza,11.0,4.0,107,LA TABLADA,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,219.83140563964844,0.0,0.0,3.0,6614.0
3702,Jose C. Paz,5.0,23.0,004,JOSE C PAZ,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,136.4821319580078,0.0,0.0,2.0,6615.0
3703,La Matanza,11.0,4.0,105,LA TABLADA,2.0,2.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,156.33941650390625,100.0,200.0,5.0,6616.0
3704,Jose C. Paz,5.0,23.0,007,JOSE C PAZ,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,100.62630462646484,0.0,0.0,2.0,6617.0
3705,Cap. Fed. DE 16,7.0,13.0,029,VILLA DEVOTO,2.0,2.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,99.99360656738281,200.0,250.0,3.0,6618.0
3706,Jose C. Paz,5.0,23.0,016,JOSE C PAZ,2.0,2.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,113.92068481445312,0.0,0.0,4.0,6619.0
3707,La Matanza,11.0,4.0,110,LA TABLADA,2.0,2.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,171.53208923339844,250.0,500.0,2.0,6620.0
3708,Cap. Fed. DE 13,9.0,24.0,016,VILLA LUGANO,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,150.54896545410156,0.0,0.0,2.0,6621.0
3709,La Matanza,11.0,4.0,113,LA TABLADA,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,163.66973876953125,300.0,250.0,2.0,6622.0
3710,Jose C. Paz,5.0,23.0,027,JOSE C PAZ,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,115.82635498046875,0.0,0.0,1.0,6623.0
3711,Cap. Fed. DE 13,9.0,24.0,001,VILLA LUGANO,3.0,3.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,184.97854614257812,0.0,0.0,3.0,6624.0
3712,Merlo,12.0,6.0,026,MERLO,5.0,5.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,134.678466796875,100.0,120.0,1.0,6625.0
3713,La Matanza,20.0,7.0,021,CIUDAD EVITA,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,154.97506713867188,297.777777777778,441.921487603306,4.0,6626.0
3714,Escobar,7.0,1.0,016,GARIN,4.0,4.0,1.0,Casa,0.0,Si,4.0,No tiene,No tiene,2.0,,No,No,No,Si,663.4678344726562,680.0,683.881578947368,2.0,6627.0
3715,La Matanza,20.0,7.0,010,CIUDAD EVITA,4.0,4.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,172.66720581054688,361.923076923077,260.921132457027,1.0,6628.0
3716,Escobar,7.0,1.0,007,GARIN,4.0,4.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,2.0,,No,No,No,Si,634.508056640625,431.25,683.881578947368,3.0,6629.0
3717,E. Echeverria,5.0,21.0,013,MONTE GRANDE,4.0,4.0,0.0,Casa,0.0,No,1.0,No tiene,No tiene,No tiene,,No,No,No,No,116.69310760498047,0.0,0.0,4.0,6630.0
3718,Merlo,12.0,6.0,028,MERLO,5.0,5.0,0.0,Casa,0.0,No,4.0,No tiene,No tiene,No tiene,,No,No,No,No,133.5750732421875,0.0,0.0,1.0,6631.0
3719,Lomas de Zamora,1.0,8.0,015,LOMAS DE ZAMORA,6.0,6.0,0.0,Casa,1.0,Si,4.0,No tiene,No tiene,3.0,,Si,No,No,Si,184.3872833251953,800.0,766.666666666667,5.0,6632.0
3720,E. Echeverria,1.0,40.0,029,LUIS GUILLON,7.0,7.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,89.12108612060547,0.0,0.0,3.0,6633.0
3721,La Matanza,11.0,4.0,104,LA TABLADA,4.0,4.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,160.83351135253906,200.0,500.0,2.0,6634.0
3722,Berazategui,5.0,2.0,016,BERAZATEGUI,5.0,5.0,0.0,Casa,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,122.18553161621094,0.0,0.0,5.0,6635.0
3723,La Matanza,40.0,22.0,219,SAN JUSTO,4.0,3.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,122.85218811035156,100.0,500.0,2.0,6636.0
3724,Jose C. Paz,5.0,23.0,028,JOSE C PAZ,3.0,3.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,121.32177734375,264.375,208.979591836735,2.0,6637.0
3725,Jose C. Paz,5.0,23.0,003,JOSE C PAZ,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,80.46292114257812,270.357142857143,208.979591836735,5.0,6638.0
3726,Jose C. Paz,5.0,2.0,010,JOSE C PAZ,2.0,2.0,0.0,Casa,1.0,No,1.0,No tiene,No tiene,No tiene,,Si,No,No,No,193.75657653808594,0.0,0.0,3.0,6639.0
3727,Cap. Fed. DE 10,3.0,9.0,023,NUÑEZ,1.0,1.0,0.0,Casa,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,286.38409423828125,445.0,260.921132457027,5.0,6640.0
3728,E. Echeverria,5.0,21.0,028,MONTE GRANDE,3.0,3.0,0.0,Casa,1.0,No,1.0,No tiene,No tiene,No tiene,,Si,No,No,No,120.09910583496094,0.0,0.0,1.0,6641.0
3729,La Matanza,11.0,4.0,109,LA TABLADA,5.0,4.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,194.1960906982422,250.0,250.0,1.0,6642.0
3730,Cap. Fed. DE 13,9.0,24.0,005,VILLA LUGANO,5.0,5.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,152.86204528808594,0.0,0.0,1.0,6643.0
3731,Cap. Fed. DE 12,2.0,17.0,014,VILLA SANTA RITA,4.0,4.0,0.0,"Dep. ""tipo casa"" (PH) o ""de pasillo""",0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,259.9094543457031,263.720930232558,441.921487603306,2.0,6644.0
