ZonaOrigen,ZonaDestino,n_viajes,cumsum_viajes
204,687,4761.99986283,0.1467141526848136
848,392,4729.62850259,0.14737898013317685
763,30,4727.287607275298,0.14804347853001773
295,20,4720.408,0.14870700988436297
253,392,4699.05879352,0.1493675402549183
398,498,4695.732232755493,0.15002760302238308
386,500,4612.0877,0.15067590816845094
534,388,4602.921,0.15132292478334403
33,34,4598.397358799999,0.15196930552570828
242,24,4585.151,0.15261382427343254
235,331,4585.151,0.15325834302115676
579,157,4507.078002474001,0.15389188731883638
66,646,4498.18536685,0.15452418160961845
534,298,4494.4054,0.1551559445635916
479,426,4475.607,0.1557850650917805
500,306,4461.49925140911,0.15641220254275887
601,20,4455.67575029985,0.15703852140441651
247,287,4450.467669497478,0.15766410818424811
385,65,4434.546891486524,0.1582874570356219
709,723,4422.59806744,0.15890912628230844
423,511,4397.0744893599995,0.15952720776829057
423,291,4397.0744893599995,0.16014528925427268
440,297,4397.0744893599995,0.16076337074025482
582,154,4385.63568996,0.16137984431394253
247,208,4381.0991579599995,0.1619956802030864
582,594,4359.987081437,0.16260854844097467
449,30,4355.89481152,0.1632208414426968
612,20,4338.59144667,0.1638307021705321
195,20,4332.364549306964,0.1644396876050367
84,537,4300.58116969032,0.16504420536028078
534,14,4300.0,0.16564864142252042
514,223,4299.58344291,0.166253018930777
611,498,4296.0,0.16685689272691226
543,556,4292.8500452186845,0.1674603237448465
534,535,4281.5426154199995,0.1680621653166548
689,269,4270.0,0.16866238438311137
601,19,4236.12939455505,0.16925784237622357
425,143,4228.924138179999,0.16985228755147747
779,781,4216.34145884,0.17044496402320747
136,6,4164.0,0.17103028303789722
467,20,4143.5771173256235,0.17161273127891644
340,486,4122.40088467732,0.17219220285047637
522,18,4119.766877744182,0.17277130416883194
164,660,4110.0,0.17334903259111217
375,19,4103.94572679,0.17392590998523919
473,277,4091.65854538,0.1745010602129598
396,405,4060.5900040147826,0.17507184324374966
32,650,4056.0,0.17564198107362036
71,446,4045.0,0.17621057267170392
71,130,4045.0,0.17677916426978751
500,766,4043.8935507254196,0.17734760033814026
195,494,4043.3376019499997,0.17791595825870493
150,499,4041.15116296251,0.1784840088391366
324,315,4037.4430925373904,0.17905153818899006
496,250,4034.10306213516,0.17961859804237285
63,483,4019.59410916,0.18018361842263847
201,424,4010.0,0.18074729019230848
642,646,4007.60897264,0.18131062586356866
363,437,3995.4853626562003,0.1818722573610896
479,447,3933.9644007315396,0.18242524107071034
533,529,3918.68273804,0.18297607669009344
370,476,3909.79011458,0.18352566230428885
682,498,3894.349,0.1840730774146486
582,167,3834.0,0.1846120094757246
582,156,3834.0,0.1851509415368006
465,513,3808.0,0.18568621886819794
369,18,3781.483682425884,0.18621776889294886
148,146,3759.6889725399997,0.18674625531104372
572,464,3755.655,0.18727417468763224
587,581,3751.0,0.18780143972704177
258,689,3749.7228923,0.18832852524785842
456,544,3747.8465487499398,0.18885534701758047
387,392,3741.5687927365016,0.189381286344948
207,14,3735.9118840399997,0.1899064305003116
671,295,3735.9118840399997,0.1904315746556752
782,762,3732.357,0.19095621911333863
289,287,3728.1352910743753,0.19148027014004412
230,495,3717.0,0.19200275591756616
764,771,3703.025221377006,0.1925232773090041
611,129,3697.0,0.1930429517560041
425,48,3697.0,0.1935626262030041
425,32,3697.0,0.1940823006500041
425,307,3697.0,0.19460197509700408
264,250,3679.03,0.19511912356353003
204,360,3675.28624722,0.19563574578373308
32,501,3671.200246319072,0.19615179364898386
612,594,3662.882850109379,0.19666667236674323
281,287,3655.0418639767913,0.1971804489043207
224,20,3651.362,0.19769370817620244
245,247,3638.68208914,0.19820518507706328
523,398,3619.23613016,0.19871392852702363
136,307,3614.0,0.19922193595235713
136,508,3614.0,0.19972994337769062
195,498,3598.0,0.2002357017386065
209,508,3587.0,0.20073991386773526
281,291,3577.0,0.20124272033160298
857,464,3567.0,0.20174412113020967
33,495,3564.45990355,0.20224516487628247
75,423,3559.75437328,0.20274554718231172
79,19,3559.75437328,0.20324592948834097
351,20,3554.0823454653996,0.20374551449712436
799,795,3548.5521011605615,0.20424432213867733
50,30,3541.985918308721,0.20474220679471702
83,151,3535.5436,0.20523918587645204
764,515,3519.80263063779,0.20573395230480634
163,592,3517.0,0.20622832477710792
163,7,3517.0,0.2067226972494095
163,19,3517.0,0.2072170697217111
764,537,3508.0,0.20771017709527778
79,54,3505.0,0.20820286276926614
145,499,3502.0,0.20869512674367618
188,172,3495.4355370529197,0.20918646797433404
523,618,3478.9988737619997,0.2096754987603324
579,555,3478.5388975399997,0.21016446488907112
612,143,3459.0,0.2106506845028588
133,135,3457.0668781805725,0.21113663238442773
141,133,3454.740260696303,0.21162225322145936
763,760,3454.1912580329536,0.2121077968870938
105,759,3429.35206012,0.21258984899296646
555,543,3428.9355896233337,0.21307184255702818
705,708,3413.33774096,0.21355164358568862
297,511,3408.0,0.21403069430664506
697,20,3405.8161937162204,0.2145094380575385
161,157,3401.42848263,0.21498756504312702
369,509,3382.4529825799996,0.2154630247085925
248,20,3376.9717530509324,0.21593771389666427
769,760,3372.644455602269,0.21641179481156625
478,299,3352.7827449563274,0.21688308383480034
99,500,3342.2068552499995,0.21735288624195795
53,18,3341.423787025939,0.2178225785759356
681,331,3321.8459086716607,0.2182895189155645
150,18,3319.49925140911,0.2187561293937341
498,460,3319.49925140911,0.2192227398719037
92,151,3307.177,0.2196876182539989
76,35,3259.0,0.22014572456256612
582,476,3241.75574996,0.22060140690680996
376,626,3240.12962282079,0.22105686067201086
364,491,3235.43283553,0.22151165422613844
48,20,3219.8038790813753,0.2219642508721514
190,245,3213.0,0.22241589112051793
209,290,3213.0,0.22286753136888443
204,205,3213.0,0.22331917161725096
439,498,3212.91739279266,0.2237708002538093
66,577,3211.71917297,0.22422226046076965
79,518,3186.575339794,0.22467018628644755
544,545,3183.5891109879403,0.22511769234831605
327,480,3182.0,0.2255649750343734
613,148,3172.524,0.22601092571202938
613,143,3153.463,0.22645419705113135
689,666,3142.6889417999996,0.22689595391830011
439,48,3126.574,0.22733544556408172
545,90,3112.49731674,0.2277729584993984
437,495,3104.49015716,0.228209345896109
764,765,3092.9190610902697,0.22864410678404187
859,537,3090.25334702595,0.22907849296180915
556,30,3086.668,0.2295123751598001
4,578,3084.258245034,0.22994591862690672
15,28,3084.258245034,0.23037946209401336
497,328,3080.588,0.2308124896475256
525,18,3067.0789132029,0.231243618275636
427,19,3059.2746728999996,0.23167364988879813
447,592,3059.2746728999996,0.23210368150196029
762,760,3055.5983051095677,0.23253319634087344
154,610,3050.72779998,0.23296202654980017
154,669,3050.72779998,0.2333908567587269
407,540,3050.452,0.23381964819940854
407,315,3050.452,0.2342484396400902
403,39,3050.452,0.23467723108077185
205,668,3049.107,0.2351058334594759
281,80,3037.495,0.23553280357967885
544,83,3035.0,0.23595942298639913
555,428,3035.0,0.23638604239311944
555,126,3035.0,0.23681266179983976
76,56,3025.0,0.23723787554129905
655,20,3023.13023589536,0.23766282645651352
209,205,3020.0,0.2380873373653423
312,45,3011.6351532480003,0.23851067245672175
544,542,3009.776762843673,0.23893374632061792
398,360,2996.8141141080005,0.23935499807001226
579,500,2996.491,0.2397762044003789
660,302,2996.169,0.24019736546832413
145,699,2991.4622288009896,0.24061786492179277
144,407,2991.4622288009896,0.2410383643752614
663,183,2985.0,0.2414579554556766
43,30,2970.13623564,0.24187545718837092
491,20,2967.1219850473135,0.2422925352183306
99,167,2965.0,0.24270931496822376
444,441,2961.608,0.24312561791646037
327,334,2961.5040449783155,0.24354190625210073
637,51,2947.9420007999197,0.24395628821830406
84,99,2945.4908455,0.24437032563412195
616,611,2944.63636718482,0.24478424293889145
5,3,2934.56574972,0.2451967446519482
171,295,2924.008298682,0.2456077623407881
765,537,2917.36889201627,0.24601784675129756
398,405,2912.4194168486624,0.2464272354312767
387,145,2904.9236636,0.24683557045926116
654,440,2887.15296856,0.24724140752237744
403,405,2885.65631277,0.24764703420578854
490,467,2876.6864671089998,0.24805140002915538
369,677,2871.02895795,0.24845497059611335
487,287,2869.72565055684,0.24885835796167863
448,291,2865.12494063946,0.2492610986214332
385,405,2854.793019890292,0.24966238695898013
32,6,2852.0866592085,0.2500632948728076
