ZonaOrigen,ZonaDestino,n_viajes,cumsum_viajes
323,126,14409.251342549998,0.1209713719618528
461,459,14326.3526537951,0.12167176720838566
362,365,14308.913680657679,0.1223713098880311
463,2,14230.023386399998,0.12306699573206524
386,54,14086.911755845184,0.12375568504961516
283,486,14048.379797015341,0.12444249059385194
59,56,14047.673129871053,0.12512926159012522
330,331,14021.008788499796,0.12581472900422375
312,287,13985.829941277298,0.12649847657392307
306,129,13952.727303299998,0.12718060580217516
50,650,13918.39532005,0.1278610565880174
352,350,13847.084348276161,0.12853802108067236
582,589,13844.090708277587,0.12921483921847512
680,309,13737.40772263096,0.1298864417750453
386,384,13717.23219851321,0.13055705797859665
486,466,13553.16212030598,0.13121965302661376
465,261,13537.53711394,0.1318814841900295
618,398,13453.171974339999,0.1325391908603397
386,410,13444.928824112072,0.1331964945346204
229,225,13372.5483727506,0.13385025963035985
33,20,13357.579991544553,0.13450329294297914
175,176,13315.22152744,0.13515425540982032
556,550,13259.053583369436,0.1358024719048161
163,96,13255.93737104,0.1364505360525707
357,612,13248.526887246,0.13709823791218756
578,167,13218.005187080838,0.1377444476087795
769,764,13187.27117748189,0.1383891547628367
119,764,13183.405101580001,0.13903367290987656
398,64,13160.61289386053,0.1396770767779139
69,23,13143.35231172467,0.1403196368003492
706,712,13132.813184123228,0.14096168157964808
681,594,13068.828314499999,0.14160059822859747
585,589,13062.531703408462,0.14223920704508003
601,586,13041.229328417809,0.14287677441838834
444,443,13021.764956764,0.14351339020592235
292,299,13009.463490807,0.14414940459207456
725,712,13008.93581274769,0.14478539318078812
368,515,12922.463991289998,0.14541715428368082
502,471,12842.43038015,0.1460450026558067
597,19,12754.492604063998,0.14666855187365024
398,413,12665.611964556569,0.14728775584194395
266,22,12665.0,0.14790692989215057
644,646,12615.515465984945,0.1485236847130363
341,20,12613.93083210846,0.14914036206339895
33,50,12599.416290853,0.1497563298182388
544,148,12545.2892,0.1503696513756788
763,760,12416.709790682356,0.1509766868665068
761,306,12414.17239623,0.15158359830768622
465,453,12361.242813870389,0.15218792209597296
520,518,12307.39086864,0.1527896131383426
386,411,12298.10798989655,0.15339085035381697
341,594,12269.0,0.15399066452057456
715,712,12241.096086145826,0.15458911450420088
459,34,12205.5365358,0.1551858260313873
502,279,12167.0,0.15578065356149895
355,123,12055.40504396571,0.15637002537104916
243,225,12020.0,0.15695766627775928
177,174,12005.22451471588,0.1575445848317598
566,562,11975.39962512,0.1581300452888248
575,558,11975.39962512,0.15871550574588983
291,292,11974.259664945284,0.15930091047190403
533,545,11944.394333479999,0.15988485512383657
83,84,11907.936493362999,0.16046701740320482
23,22,11878.37529064615,0.1610477344769185
848,849,11849.766019098279,0.16162705288355458
388,405,11758.321284472937,0.16220190068563414
169,15,11714.776194699574,0.16277461962947437
77,227,11676.607783924948,0.16334547257335488
16,501,11665.639875609999,0.16391578931161255
319,299,11618.336282022436,0.16448379344366168
603,19,11601.113147906633,0.1650509555608898
46,20,11599.193982701,0.1656180238528283
770,764,11581.427032008,0.16618422354351767
706,719,11577.873653415587,0.1667502495145217
407,410,11575.165657529642,0.16731614309541273
136,409,11563.25,0.1678814541365538
136,15,11563.25,0.16844676517769488
763,777,11556.61903382,0.1690117520402188
266,290,11493.72160225525,0.16957366393571155
369,364,11444.629520425005,0.17013317578831919
291,302,11441.070310632847,0.1706925136361623
248,527,11386.180922759999,0.17124916801897563
764,760,11359.662362943289,0.17180452594666953
685,705,11333.650169404422,0.17235861217477969
