dto_origen,dto_dest,n_viajes,cumsum_viajes
175,174,26741,0.06842672305128787
72,69,26715,0.06932470757267675
179,180,26564,0.0702176164563067
180,179,26564,0.07111052533993664
127,126,26305,0.0719947283283377
118,117,26079,0.0728713346668479
141,142,26071,0.07374767209739738
206,203,26037,0.07462286666911373
146,147,25976,0.07549601081762944
52,51,25800,0.07636323899100893
173,174,25694,0.07722690413390863
3,1,25556,0.07808593061448561
22,24,25376,0.078938906665946
126,127,25290,0.07978899195682844
4,5,25198,0.08063598480616241
5,4,25107,0.08147991882744297
19,20,25053,0.08232203771998856
117,118,25025,0.08316321543467156
117,111,24977,0.08400277970159015
24,22,24779,0.08483568849648046
131,128,24763,0.08566805947544931
142,141,24744,0.0864997917980114
128,131,24690,0.0873297089918385
56,55,24612,0.08815700433304842
30,31,24581,0.08898325765591049
31,30,24463,0.08980554458635166
51,52,24350,0.0906240331918474
25,26,24286,0.09144037053365726
45,44,24229,0.09225479190624686
55,56,24160,0.09306689394767509
174,173,24124,0.09387778590328
44,45,24087,0.09468743415956649
111,117,23795,0.09548726727528606
194,195,23773,0.09628636089411359
159,160,23652,0.09708138728003497
15,9,23368,0.09786686743335016
26,25,23319,0.09865070052540582
14,15,23234,0.09943167647037865
80,81,23223,0.10021228266690546
167,165,23113,0.10098919137897212
165,167,23080,0.10176499084570075
195,194,22935,0.102535916355641
22,23,22896,0.10330553093927265
160,159,22827,0.10407282619174293
45,43,22742,0.10483726429713039
81,80,22693,0.10560005534125833
9,15,22652,0.10636146823208747
43,45,22569,0.10712009120282397
43,44,22515,0.10787689904482547
182,181,22466,0.10863205982556748
63,51,22438,0.10938627942844689
23,22,22243,0.11013394439978332
113,112,22238,0.11088144130364429
51,63,22205,0.1116278289621672
181,182,22158,0.11237263678642079
112,113,22056,0.11311401603417498
48,49,22026,0.11385438687707639
46,45,22017,0.11459445519852197
116,111,21938,0.11533186805385527
8,2,21799,0.11606460863337076
24,23,21781,0.11679674416997457
44,43,21735,0.11752733348580414
15,14,21713,0.11825718330474169
49,48,21636,0.11898444488455714
111,116,21623,0.11971126948893639
157,159,21550,0.1204356403081739
172,170,21488,0.1211579270907157
119,120,21487,0.1218801802597624
159,157,21475,0.122602030066868
107,105,21410,0.1233216949967926
125,124,21405,0.12404119185924174
15,47,21389,0.1247601509057694
202,203,21325,0.12547695868861117
118,116,21246,0.12619111100534064
105,107,21223,0.126904490211683
21,16,21223,0.12761786941802536
45,46,21202,0.12833054274097078
23,24,21136,0.1290409975732401
191,189,21071,0.12974926752832844
2,1,21037,0.13045639462458364
189,191,20994,0.13116207634054988
2,21,20979,0.13186725385408973
124,125,20932,0.13257085153336026
16,21,20917,0.1332739450102044
58,59,20899,0.13397643344413687
170,172,20890,0.13467861935661352
68,64,20870,0.1353801329991883
203,202,20794,0.13607909201613608
37,38,20730,0.13677589976939797
47,15,20662,0.13747042180499358
102,101,20654,0.13816467493262846
59,58,20649,0.13885875999278788
20,19,20602,0.13955126521867797
120,119,20483,0.14023977043865207
196,195,20473,0.14092793952367527
116,118,20443,0.14161510020384568
21,2,20439,0.14230212643003573
51,65,20420,0.14298851399981902
76,74,20417,0.14367480072911704
58,16,20392,0.14436024712103776
16,58,20361,0.14504465149461063
38,37,20296,0.14572687099100248
139,140,20247,0.14640744342613482
195,196,20245,0.14708794863427696
2,8,20215,0.14776744543756637
47,51,20162,0.14844516072561587
140,139,20157,0.1491227079461899
74,76,20068,0.14979726356570072
65,51,20018,0.15047013851045696
51,47,20006,0.15114261009327207
1,2,19990,0.1518145438601657
106,107,19868,0.1524823767806581
64,68,19638,0.15314247859727928
1,4,19595,0.15380113503361148
1,5,19579,0.15445925365402222
128,130,19321,0.15510869999269916
5,1,19230,0.1557550875033227
129,113,19188,0.15640006324715236
130,128,19175,0.15704460201554585
44,69,19171,0.15768900632995894
70,68,19127,0.15833193165058798
4,1,19051,0.15897230234559
69,44,18996,0.159610824298362
113,129,18944,0.16024759834938915
105,104,18924,0.16088370013051448
142,143,18909,0.16151929770921342
18,20,18848,0.16215284486471174
38,12,18635,0.1627792323457554
68,70,18617,0.16340501478388741
19,113,18603,0.16403032663308814
68,69,18576,0.16465473091792135
104,105,18573,0.16527903436226932
29,27,18535,0.16590206049380377
52,61,18522,0.166524649649902
19,18,18518,0.16714710435201988
20,18,18510,0.16776929014617703
15,8,18399,0.16838774484237892
151,155,18315,0.16900337600499307
69,68,18283,0.1696179315357643
50,49,18246,0.1702312433672171
41,46,18240,0.17084435351769933
106,105,18236,0.1714573292142012
49,50,18163,0.17206785112556133
184,192,18152,0.17267800328847546
15,53,18116,0.17328694536556624
62,51,18100,0.17389534962673558
130,131,18099,0.17450372027440983
143,142,18097,0.17511202369509388
27,29,18049,0.1757187136680135
18,19,17998,0.17632368935268342
192,184,17997,0.17692863142385823
28,32,17943,0.1775317583662981
131,130,17919,0.17813407858485572
101,102,17886,0.1787352895580753
113,19,17847,0.17933518960498632
49,47,17811,0.17993387956607398
51,62,17771,0.18053122498735796
107,106,17758,0.18112813343320575
129,138,17707,0.18172332759080384
2,16,17705,0.18231845452141174
53,15,17654,0.18291186716376992
16,2,17644,0.1835049436711772
46,41,17580,0.18409586891489857
61,52,17490,0.18468376894406163
13,14,17457,0.18527055972788667
47,49,17433,0.18585654378782948
155,151,17398,0.18644135137544404
102,103,17385,0.18702572198762243
8,15,17319,0.18760787410912474
126,125,17279,0.18818868169082334
142,137,17252,0.18876858170815447
14,13,17063,0.18934212877491316
183,182,17026,0.18991443214235343
138,129,16965,0.19048468508659308
182,183,16762,0.191048114491329
53,54,16638,0.19160737582267348
187,186,16570,0.19216435143635172
12,38,16544,0.19272045309915753
103,102,16541,0.19327645392147808
75,74,16482,0.19383047154758817
103,105,16468,0.19438401858476698
137,142,16443,0.19493672528456849
186,187,16402,0.1954880538310712
125,126,16319,0.19603659245748128
114,115,16314,0.1965849630164159
115,114,16243,0.19713094701719894
153,152,16210,0.19767582177264398
38,39,16199,0.19822032677964296
32,28,16180,0.19876419313023522
56,54,16140,0.19930671494102378
39,38,16018,0.1998451359054111
54,53,16000,0.20038295182688673
111,109,15986,0.2009202971594311
152,153,15966,0.2014569702220736
79,84,15948,0.20199303824180445
54,56,15887,0.2025270558383347
150,149,15885,0.20306100620787473
74,75,15827,0.20359300699469943
63,62,15821,0.20412480610055356
56,59,15781,0.204655260666604
7,1,15769,0.20518531187071334
84,79,15702,0.2057131109706515
6,1,15700,0.2062408428435995
149,150,15677,0.20676780160616035
174,189,15640,0.2072935166694028
40,13,15637,0.20781913089215998
13,40,15585,0.20834299721317234
102,105,15552,0.20886575428884668
105,103,15484,0.20938622564685475
105,106,15460,0.20990589028098058
122,128,15460,0.21042555491510642
1,12,15408,0.21094347164748747
128,122,15391,0.21146081695045196
1,6,15360,0.2119771202350686
144,142,15297,0.21249130586949438
189,174,15293,0.21300535704993984
148,158,15285,0.21351913932242456
190,191,15207,0.21403029974229207
183,180,15159,0.21453984671439513
38,40,15097,0.2150473096498025
56,57,15092,0.21555460451773442
62,63,15036,0.21606001702994115
158,148,15022,0.2165649589532166
44,68,14983,0.21706858995018347
41,42,14973,0.21757188481219938
180,183,14938,0.21807400320188708
13,12,14913,0.21857528125419748
47,14,14910,0.2190764584660226
49,44,14910,0.21957763567784772
105,102,14864,0.2200772666688986
109,111,14827,0.22057565396063106
12,13,14823,0.22107390679838315
42,41,14788,0.22157098316380702
54,55,14722,0.2220658410385548
120,121,14680,0.22255928714650872
114,113,14649,0.22305169123611476
55,54,14630,0.22354345666931408
40,38,14610,0.2240345498326115
74,73,14543,0.22452339089173778
59,56,14500,0.2250107865705751
121,120,14482,0.22549757720650074
44,49,14482,0.2259843678424264
191,190,14466,0.22647062066243057
84,78,14462,0.22695673902845437
160,157,14462,0.22744285739447817
113,114,14458,0.2279288413065216
29,32,14429,0.22841385042720735
196,197,14406,0.228898086437506
16,57,14379,0.22938141488343713
178,177,14353,0.2298638693784959
12,1,14350,0.23034622303306937
41,40,14330,0.23082790441774098
101,58,14321,0.2313092832809568
58,101,14317,0.2317905276901922
142,144,14301,0.23227123428350616
56,16,14286,0.23275143667439374
73,74,14272,0.23323116847635
72,70,14244,0.2337099591004437
77,73,14212,0.23418767409269445
32,29,14197,0.23466488488251883
191,188,14196,0.23514206205884808
197,196,14191,0.2356190711677019
177,178,14186,0.23609591220908024
66,68,14127,0.23657077005424815
9,8,14077,0.23704394722466143
71,75,14076,0.23751709078157965
70,72,14073,0.23799013349801257
147,158,14047,0.2384623022635731
68,44,13989,0.23893252144641827
188,190,13978,0.23940237088081745
57,16,13960,0.23987161527230494
17,20,13904,0.24033897730806728
78,84,13884,0.24080566707392778
20,17,13863,0.24127165095639133
23,26,13839,0.24173682811497268
64,65,13810,0.24220103048219635
130,138,13791,0.24266459419301326
65,64,13751,0.2431268133640265
190,188,13750,0.24358899892154462
158,147,13715,0.24405000800673454
8,9,13712,0.24451091625143917
188,191,13696,0.2449712866802223
1,7,13684,0.24543125374706437
40,41,13652,0.24589014518206345
78,77,13643,0.24634873409560673
77,78,13627,0.24680678519322852
157,160,13615,0.2472644329289092
66,51,13595,0.24772140839468804
16,56,13556,0.24817707293415828
138,137,13531,0.24863189713625122
116,113,13530,0.24908668772484907
57,56,13518,0.24954107495150582
14,47,13512,0.249995260497192
137,130,13506,0.25044924436190763
117,116,13504,0.25090316099963306
33,31,13497,0.25135684234289285
