dto_origen,dto_dest,n_viajes,cumsum_viajes
54,53,10171,0.19917423581170596
7,1,10101,0.19973370700093368
101,58,10098,0.20029301202705202
142,137,10061,0.2008502677081549
144,142,10004,0.20140436629017983
77,78,9974,0.20195680324111115
58,101,9961,0.20250852015190188
105,102,9954,0.20305984934877078
69,68,9926,0.20360962768995228
44,69,9924,0.2041592952557275
78,77,9876,0.20470630421175295
137,142,9854,0.2052520946383097
57,56,9830,0.20579655575999156
84,78,9798,0.20633924447517354
68,69,9759,0.2068797730699338
69,44,9737,0.20741908313522536
122,128,9725,0.20795772854807948
59,56,9683,0.2084940476774025
78,84,9656,0.2090288713387413
105,103,9652,0.20956347344926754
101,16,9628,0.21009674625491892
128,122,9621,0.21062963134664842
16,101,9614,0.21116212872445608
103,105,9607,0.21169423838834192
111,112,9596,0.2122257387874934
183,180,9588,0.2127567960850199
16,15,9524,0.21328430856954667
142,144,9462,0.2138083870164799
111,109,9380,0.21432792367175718
18,17,9363,0.2148465187360814
180,183,9343,0.21536400604634323
54,56,9336,0.21588110564268317
55,54,9297,0.21639604511860142
158,148,9280,0.2169100430035666
56,54,9280,0.21742404088853176
31,152,9274,0.2179377064472782
28,32,9273,0.2184513166183215
57,16,9254,0.21896387442300552
14,13,9225,0.21947482598429902
148,158,9218,0.21998538983167068
152,31,9184,0.2204940704971362
7,8,9146,0.22100064642988312
109,111,9144,0.2215071115872238
1,6,9127,0.22201263515361142
75,74,9119,0.22251771561837408
6,1,9106,0.22302207604299615
74,73,9063,0.22352405479638401
71,75,9060,0.2240258673866625
13,40,9053,0.22452729226301915
17,18,9051,0.22502860636396954
16,57,9021,0.22552825883382632
63,62,9001,0.22602680354962065
54,55,8965,0.22652335430810264
32,28,8956,0.2270194065772565
13,12,8926,0.22751379721531675
56,16,8925,0.2280081324656739
15,16,8871,0.22849947678006247
114,113,8833,0.22898871636173243
112,111,8827,0.22947762361718368
19,18,8804,0.22996525695546313
73,74,8795,0.23045239180441449
198,197,8775,0.23093841889930344
64,51,8767,0.2314240028925674
117,116,8736,0.23190786986703463
74,75,8702,0.23238985365959572
113,114,8689,0.23287111741201622
149,150,8685,0.23335215961362424
130,138,8668,0.23383226022427922
12,13,8659,0.23431186234560608
18,19,8645,0.23479068903908926
16,56,8622,0.23526824181540065
27,28,8615,0.2357454068777902
