zona_o,zona_d,n_viajes,cumsum_viajes
105.0,97.0,727.1636444065524,0.2330511142415079
77.0,79.0,726.0879634015623,0.23410205654394284
109.0,74.0,724.6623084803316,0.23515093534837075
83.0,32.0,723.7611901898213,0.23619850987097787
61.0,3.0,723.5701785341488,0.2372458079226347
25.0,79.0,721.070289360572,0.23828948762580435
64.0,66.0,720.6037697966715,0.23933249208689686
127.0,57.0,719.3660335655051,0.2403737050441632
117.0,91.0,717.9691446437661,0.24141289613943256
117.0,105.0,717.9691446437661,0.24245208723470194
117.0,86.0,717.9691446437661,0.2434912783299713
51.0,21.0,713.8261029182885,0.24452447277190176
19.0,18.0,710.9539560245751,0.24555351005819603
59.0,78.0,710.1106249935525,0.24658132670415453
59.0,1.0,709.8202566669813,0.2476087230699637
65.0,57.0,709.0079732637985,0.24863494373388415
60.0,5.0,708.5606140868056,0.2496605168885396
123.0,133.0,706.3469800680544,0.2506828860214378
123.0,8.0,706.3469800680544,0.251705255154336
123.0,54.0,706.3469800680544,0.2527276242872342
123.0,36.0,706.3469800680544,0.2537499934201324
31.0,32.0,705.0635294170247,0.25477050488199043
67.0,68.0,704.2247579615229,0.2557898023030585
25.0,57.0,704.0525036159523,0.2568088504025737
6.0,37.0,703.5000110377023,0.25782709882236476
48.0,46.0,696.8540799088905,0.2588357278977866
60.0,66.0,694.6961977741494,0.25984123364692646
67.0,73.0,694.0098710556159,0.2608457460043313
3.0,2.0,692.8466006779706,0.2618485746400513
36.0,82.0,690.4620361596255,0.2628479518486006
36.0,5.0,688.3208938674206,0.26384422996017565
95.0,82.0,684.7201054124495,0.2648352962777255
91.0,100.0,681.3031313685019,0.2658214168548828
69.0,73.0,680.4530027296717,0.26680630695282265
133.0,56.0,679.799223308957,0.2677902507681021
111.0,94.0,679.717826606602,0.26877407676950477
111.0,36.0,679.717826606602,0.2697579027709075
68.0,82.0,673.5018342945926,0.27073273172291457
88.0,32.0,673.304621455619,0.27170727522835664
117.0,112.0,671.1322454723332,0.27267867442906885
4.0,27.0,669.6511809588295,0.273647929931733
127.0,91.0,667.7694303542653,0.27461446178187476
78.0,79.0,666.4039979528278,0.27557901730029893
30.0,68.0,664.9612103150474,0.2765414845227613
57.0,74.0,660.6178951653461,0.2774976652154177
4.0,30.0,660.2955003217749,0.2784533792726301
59.0,29.0,660.260750673611,0.27940904303307806
20.0,49.0,660.0071236978406,0.2803643396929386
111.0,91.0,659.7273920333769,0.2813192314681925
31.0,79.0,658.2172388426917,0.28227193744234336
36.0,73.0,654.7388646054035,0.28321960880524333
123.0,127.0,649.2467477090916,0.2841593308586007
36.0,6.0,649.1623793996853,0.28509893079696674
57.0,5.0,649.0250707858703,0.28603833199435647
88.0,68.0,646.8873514935296,0.28697463904923415
74.0,68.0,646.8012605356809,0.28791082149575303
123.0,109.0,646.6985441400168,0.28884685527019527
123.0,19.0,646.6985441400168,0.28978288904463745
43.0,44.0,639.3809063598121,0.29070833124411255
68.0,73.0,638.5128550824164,0.29163251702307924
64.0,63.0,634.2294076110736,0.2925505029249308
16.0,7.0,632.7207780050438,0.2934663052309212
60.0,35.0,632.0908108187406,0.2943811957201641
78.0,68.0,630.5923333482974,0.29529391730778304
70.0,68.0,628.4127072166483,0.29620348409678154
51.0,1.0,623.6429656850772,0.2971061471449114
70.0,73.0,623.1519290392196,0.29800809946485235
36.0,1.0,619.4553487813429,0.29890470134137165
64.0,61.0,617.1380870674152,0.2997979492050388
95.0,105.0,616.4759883866998,0.30069023874471906
18.0,19.0,614.7549380815645,0.3015800372300624
46.0,47.0,614.6315783921841,0.30246965716415214
58.0,56.0,612.1255856532707,0.3033556499154326
35.0,77.0,608.0461885089422,0.3042357381327675
59.0,36.0,606.687779101092,0.30511386018349074
59.0,79.0,606.687779101092,0.305991982234214
59.0,77.0,606.687779101092,0.30687010428493716
59.0,72.0,606.687779101092,0.3077482263356604
59.0,48.0,606.687779101092,0.3086263483863836
59.0,45.0,606.687779101092,0.3095044704371068
59.0,82.0,606.687779101092,0.31038259248783
30.0,31.0,606.3437361517426,0.31126021656956393
30.0,32.0,603.3414227014251,0.31213349509212435
57.0,4.0,602.5378110358076,0.3130056104642998
4.0,1.0,601.5880441661161,0.3138763511405278
129.0,17.0,601.3648493815597,0.31474676876383023
31.0,29.0,600.9774387760814,0.3156166256476435
82.0,73.0,600.1163746511993,0.3164852362241778
126.0,30.0,598.6522018728647,0.3173517275518216
31.0,2.0,598.4294637300989,0.31821789648748483
44.0,43.0,598.0677211160835,0.31908354183560106
88.0,78.0,597.6536746639114,0.31994858789140884
