zona_o,zona_d,n_viajes,cumsum_viajes
90.0,88.0,1479.7507657670542,0.19481105306375074
41.0,43.0,1477.9607978539577,0.19603537103772747
6.0,2.0,1459.2989238358346,0.19724422982779236
27.0,57.0,1444.7268203013984,0.19844101733132397
6.0,7.0,1438.6848069540767,0.19963279973218245
117.0,82.0,1431.476520671644,0.20081861090939956
133.0,5.0,1424.526402889111,0.20199866472543715
109.0,1.0,1418.034997125638,0.2031733411696499
127.0,104.0,1414.5166461512881,0.20434510307083628
72.0,71.0,1413.6256410088372,0.20551612687828405
133.0,1.0,1410.251097033316,0.20668435527001497
109.0,101.0,1409.5028377367853,0.20785196381627552
109.0,122.0,1409.5028377367853,0.20901957236253607
68.0,81.0,1404.3150313212877,0.21018288341684063
30.0,34.0,1395.7162773762605,0.2113390714073779
118.0,100.0,1387.52197617976,0.2124884713760315
64.0,61.0,1386.180889195524,0.2136367604106861
83.0,32.0,1379.412950555794,0.21477944299831223
31.0,68.0,1378.2577154707158,0.21592116860854021
124.0,5.0,1374.5095461289388,0.21705978929805497
124.0,1.0,1374.5095461289388,0.2181984099875697
60.0,54.0,1364.4427871107396,0.21932869154249876
20.0,1.0,1356.2053449860832,0.2204521493383217
56.0,53.0,1353.4324931879746,0.2215733101501512
115.0,100.0,1351.5507419409669,0.2226929121507608
109.0,115.0,1347.186149366142,0.22380889859597397
109.0,105.0,1347.186149366142,0.22492488504118713
98.0,109.0,1347.186149366142,0.22604087148640029
109.0,85.0,1347.186149366142,0.22715685793161344
31.0,29.0,1347.0072596882198,0.22827269618761323
124.0,93.0,1346.4591168892925,0.22938808037129796
35.0,62.0,1346.0401964138284,0.23050311752827635
89.0,83.0,1340.253555165212,0.2316133611285515
36.0,83.0,1340.2065466517486,0.23272356578776135
67.0,68.0,1332.5690290728865,0.23382744365531208
88.0,107.0,1320.9928970965852,0.2349217320489957
30.0,36.0,1316.5630349753333,0.2360123508190836
4.0,31.0,1299.9982257544743,0.23708924757861882
122.0,127.0,1294.8841985450322,0.23816190796365683
36.0,30.0,1290.463711854625,0.23923090649154907
93.0,84.0,1288.6959107965013,0.24029844060264963
18.0,19.0,1287.4849089554443,0.2413649715401053
61.0,57.0,1284.3296098935332,0.24242888868065895
119.0,32.0,1280.8560018873127,0.2434899283425117
36.0,61.0,1269.5903417387685,0.24454163572016002
77.0,80.0,1261.7166028863878,0.24558682062440218
115.0,93.0,1255.4800104961914,0.24662683923995066
43.0,44.0,1253.7197984213424,0.24766539972529406
117.0,109.0,1246.4883825925067,0.24869796982686718
75.0,79.0,1243.8651253792364,0.24972836686609573
51.0,50.0,1236.5217736661396,0.2507526807957421
117.0,107.0,1232.7643918869612,0.25177388217324626
127.0,5.0,1232.059745038122,0.25279449983310137
127.0,14.0,1232.059745038122,0.2538151174929565
100.0,83.0,1231.8131599504022,0.2548355308858545
61.0,5.0,1223.4579620739607,0.2558490229727536
65.0,68.0,1222.401658361936,0.2568616400353473
109.0,98.0,1219.934140449379,0.25787221304742497
57.0,28.0,1217.815252704816,0.25888103080837943
78.0,79.0,1214.8498951983968,0.25988739211683554
59.0,9.0,1213.375558202184,0.2608925321092142
88.0,93.0,1209.0761510526522,0.2618941105447111
59.0,58.0,1194.5920839797188,0.2628836906216052
