codsegorigen,codsegproposito,n_viajes,cumsum_viajes
124211,105101.0,879.2865579,0.1136565636224597
124211,124209.0,869.3258065,0.11542753381492177
110066,102003.0,869.2631499,0.11719837636482434
119104,112228.0,858.851231,0.11894800799716258
112112,119212.0,857.1826602,0.1206942404561084
304138,304053.0,855.7496151,0.12243755354910696
110071,110064.0,852.5128487,0.1241742727773295
110071,102102.0,852.5128487,0.12591099200555203
110071,104203.0,852.5128487,0.12764771123377458
120048,114024.0,838.5822396,0.12935605135108788
119204,120048.0,838.5822396,0.13106439146840115
337238,124005.0,830.6593338,0.13275659122739936
101204,114004.0,826.2316183,0.13443977094798087
101204,123212.0,826.2316183,0.1361229506685624
101204,115312.0,826.2316183,0.13780613038914394
101204,117319.0,826.2316183,0.13948931010972546
115104,102004.0,823.9024531,0.14116774490945952
115104,101205.0,823.9024531,0.14284617970919358
105104,108009.0,820.8565391,0.14451840944419533
101003,109021.0,819.7282984,0.1461883407536417
121045,108004.0,816.4872709,0.14785166951769882
113024,106104.0,816.4872709,0.14951499828175593
118207,107303.0,811.4806759,0.1511681277276237
105206,337526.0,807.5376343,0.15281322450140344
105206,106103.0,807.5376343,0.1544583212751832
112014,112026.0,802.1363522,0.15609241468344837
112112,101002.0,799.1923052,0.15772051054805014
112015,108009.0,796.5779114,0.1593432804307743
109255,107009.0,796.1884472,0.1609652569061429
317745,317147.0,787.5833517,0.1625697032823015
117319,105201.0,787.5264241,0.16417403368688535
122219,122029.0,787.5264241,0.1657783640914692
114024,112001.0,785.4984944,0.16737856324511788
112001,108211.0,785.4984944,0.16897876239876652
105203,118103.0,784.434262,0.17057679352307087
105203,103204.0,784.434262,0.1721748246473752
317282,337238.0,782.999434,0.17376993277365013
110066,110057.0,778.0447211,0.17535494727473588
110066,124005.0,778.0447211,0.17693996177582164
121125,110064.0,771.1916044,0.1785110152679158
107205,110056.0,770.2173485,0.18008008402868617
106304,110054.0,770.2173485,0.18164915278945654
116007,123211.0,769.0207162,0.1832157837989042
118218,124102.0,768.2147133,0.18478077283810293
115104,107204.0,768.1635797,0.18634565770912817
110006,118031.0,767.6187839,0.18790943273489683
110006,119016.0,767.6187839,0.18947320776066548
115104,112018.0,767.1931491,0.19103611569317858
117224,120040.0,766.6490415,0.19259791518242003
111010,111206.0,766.5714286,0.1941595565604776
111010,199006.0,766.5714286,0.19572119793853518
114018,103003.0,765.3938795,0.1972804404411186
114024,108008.0,765.3938795,0.198839682943702
108314,120040.0,750.589344,0.20036876599296224
108314,115306.0,750.589344,0.20189784904222252
110202,124225.0,747.9717951,0.20342159968210927
120232,105203.0,747.5254711,0.20494444108118634
106204,112127.0,737.9052181,0.2064476843259471
124110,123212.0,734.7385409,0.20794447649001013
124110,107106.0,734.7385409,0.20944126865407314
111015,118227.0,734.4866086,0.21093754758754935
117319,108114.0,734.2484717,0.2124333413941048
116042,102004.0,733.5587225,0.21392773005972882
102004,103104.0,733.5587225,0.21542211872535286
113021,116136.0,732.8833048,0.21691513144584187
105203,112002.0,731.3655014,0.21840505213275807
105203,105201.0,731.3655014,0.2198949728196743
120130,120008.0,729.8837809,0.22138187498025727
120130,199007.0,729.8837809,0.22286877714084027
112015,119206.0,729.650257,0.2243552035719982
109255,102202.0,728.3721895,0.22583902635394945
110071,110066.0,724.8420563,0.22731565763114392
110066,118119.0,723.9263543,0.22879042346164966
116005,124027.0,721.0252995,0.2302592793311959
116005,118111.0,721.0252995,0.23172813520074212
110043,104001.0,719.3927817,0.23319366534322392
122021,117241.0,715.9331128,0.23465214752917224
116042,116028.0,715.6876286,0.23611012962045214
121246,116030.0,715.260569,0.23756724171590732
121045,120130.0,711.202609,0.23901608703019886
121229,120036.0,710.3071758,0.24046310818892677
121229,125001.0,710.3071758,0.2419101293476547
111230,113236.0,710.3071758,0.24335715050638262
121229,112106.0,709.4098359,0.2448023436252623
118213,101003.0,708.8413791,0.24624637869724977
108003,116029.0,704.3351016,0.2476812336861524
120035,337425.0,703.4453063,0.2491142760048894
108003,124005.0,702.5566351,0.2505455079434509
