codsegorigen,codsegproposito,n_viajes,cumsum_viajes
118103,111013.0,1242.242694,0.18188497110158633
124112,115104.0,1240.3290714,0.18295002799978316
109048,109004.0,1233.7487353000001,0.18400943443592327
1606311,1606211.0,1231.7735355,0.18506714478977296
317244,317182.0,1227.2394584,0.18612096178160797
317282,317347.0,1219.971161,0.18716853756660318
119016,107205.0,1212.601254,0.18820978489371537
117341,117204.0,1210.3054126000002,0.1892490608071305
114125,103201.0,1200.8176116,0.19028018965043597
106204,107205.0,1200.0557244,0.19131066426960308
105106,118107.0,1199.9194414,0.19234102186406069
304134,304006.0,1195.905549,0.19336793277337014
305010,305006.0,1194.496895,0.19439363408702107
110438,118115.0,1193.5650152,0.1954185352057623
110438,199065.0,1187.7204418,0.1964384176537651
102001,101105.0,1177.0925002,0.19744917400549575
113012,113252.0,1174.1203074,0.19845737816803938
